year,fear,sadness,anger,disgust,neutral,surprise,joy
2010,25.49019607843137,3.9215686274509802,9.803921568627452,3.9215686274509802,49.01960784313725,5.88235294117647,1.9607843137254901
2011,17.063492063492063,6.349206349206349,14.285714285714285,3.571428571428571,45.23809523809524,7.936507936507936,5.555555555555555
2012,16.71388101983003,9.91501416430595,13.881019830028329,2.8328611898017,47.875354107648725,6.79886685552408,1.9830028328611897
2013,17.745302713987474,8.1419624217119,11.899791231732777,4.592901878914405,47.390396659707726,7.09812108559499,3.1315240083507305
2014,18.265682656826566,6.4575645756457565,14.206642066420663,3.8745387453874542,47.7859778597786,5.719557195571956,3.6900369003690034
2015,23.32155477031802,8.12720848056537,14.3698468786808,5.418138987043581,40.04711425206125,5.771495877502945,2.944640753828033
2016,22.536945812807883,7.266009852216748,17.610837438423648,4.433497536945813,40.51724137931034,4.80295566502463,2.832512315270936
2017,18.682795698924732,9.005376344086022,19.758064516129032,5.241935483870968,40.86021505376344,4.973118279569892,1.478494623655914
2018,21.562952243125906,9.117221418234443,18.668596237337194,6.078147612156296,37.77134587554269,5.065123010130246,1.7366136034732274
2019,20.3125,6.510416666666667,15.885416666666666,6.380208333333333,43.48958333333333,6.119791666666666,1.3020833333333335
